ts,claimId,actor,type,details
2025-09-03T08:07:19Z,OP-1001,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,OP-1001,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,OP-1001,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,OP-1001,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,OP-1002,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,OP-1002,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,OP-1002,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,OP-1002,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,OP-1003,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,OP-1003,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,OP-1003,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,OP-1003,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,IP-2001,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,IP-2001,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,IP-2001,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,IP-2001,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,IP-2002,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,IP-2002,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,IP-2002,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,IP-2002,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,IP-2003,customer,claim_submitted,initial payload stored
2025-09-03T08:07:19Z,IP-2003,employee,processing_started,expected output: text confirm + rules
2025-09-03T08:07:19Z,IP-2003,orchestrator,card_issued,ClaimsIntakeClarifier
2025-09-03T08:07:19Z,IP-2003,agent:ClaimsIntakeClarifier,agent_started,T1
2025-09-03T08:07:19Z,OP-1002,agent:ClaimsIntakeClarifier,gap_found,missing memo/report
2025-09-03T08:07:19Z,IP-2002,agent:DocIntelligence,gap_found,missing discharge summary
